Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
66058,2016,10,18,1.0,1.0,656
66058,2016,10,19,0.0,1.0,657
66058,2016,10,20,0.0,1.0,658
66058,2016,10,21,0.0,1.0,659
66058,2016,10,22,2.0,1.0,660
66058,2016,10,23,1.0,1.0,661
66058,2016,10,24,0.0,1.0,662
66058,2016,10,25,0.0,1.0,663
66058,2016,10,26,0.0,1.0,664
66058,2016,10,27,0.0,1.0,665
66058,2016,10,28,0.0,1.0,666
66058,2016,10,29,2.0,1.0,667
66058,2016,10,30,0.0,1.0,668
66058,2016,10,31,0.0,1.0,669
66058,2016,11,1,0.0,1.0,670
66058,2016,11,2,0.0,1.0,671
66058,2016,11,3,0.0,1.0,672
66058,2016,11,4,0.0,1.0,673
66058,2016,11,5,0.0,1.0,674
66058,2016,11,6,0.0,1.0,675
66058,2016,11,7,0.0,1.0,676
66058,2016,11,8,0.0,1.0,677
66058,2016,11,9,0.0,1.0,678
66058,2016,11,11,0.0,1.0,680
66058,2016,11,12,4.0,1.0,681
66058,2016,11,13,0.0,1.0,682
66058,2016,11,14,0.0,1.0,683
66058,2016,11,15,0.0,1.0,684
